Student_ID,Department,Subject,Date,Time
S0001,MECH,Manufacturing,2026-04-03,FN
S0002,MECH,Manufacturing,2026-04-03,FN
S0003,MECH,Manufacturing,2026-04-03,FN
S0004,MECH,Manufacturing,2026-04-03,FN
S0005,MECH,Manufacturing,2026-04-03,FN
S0006,MECH,Manufacturing,2026-04-03,FN
S0007,MECH,Manufacturing,2026-04-03,FN
S0008,MECH,Manufacturing,2026-04-03,FN
S0009,MECH,Manufacturing,2026-04-03,FN
S0010,MECH,Manufacturing,2026-04-03,FN
S0011,MECH,Manufacturing,2026-04-03,FN
S0012,MECH,Manufacturing,2026-04-03,FN
S0013,MECH,Manufacturing,2026-04-03,FN
S0014,MECH,Manufacturing,2026-04-03,FN
S0015,MECH,Manufacturing,2026-04-03,FN
S0016,MECH,Manufacturing,2026-04-03,FN
S0017,MECH,Manufacturing,2026-04-03,FN
S0018,MECH,Manufacturing,2026-04-03,FN
S0019,MECH,Manufacturing,2026-04-03,FN
S0020,MECH,Manufacturing,2026-04-03,FN
S0021,MECH,Manufacturing,2026-04-03,FN
S0022,MECH,Manufacturing,2026-04-03,FN
S0023,MECH,Manufacturing,2026-04-03,FN
S0024,MECH,Manufacturing,2026-04-03,FN
S0025,MECH,Manufacturing,2026-04-03,FN
S0026,MECH,Manufacturing,2026-04-03,FN
S0027,MECH,Manufacturing,2026-04-03,FN
S0028,MECH,Manufacturing,2026-04-03,FN
S0029,MECH,Manufacturing,2026-04-03,FN
S0030,MECH,Manufacturing,2026-04-03,FN
S0031,MECH,Manufacturing,2026-04-03,FN
S0032,MECH,Manufacturing,2026-04-03,FN
S0033,MECH,Manufacturing,2026-04-03,FN
S0034,MECH,Manufacturing,2026-04-03,FN
S0035,MECH,Manufacturing,2026-04-03,FN
S0036,MECH,Manufacturing,2026-04-03,FN
S0037,MECH,Manufacturing,2026-04-03,FN
S0038,MECH,Manufacturing,2026-04-03,FN
S0039,MECH,Manufacturing,2026-04-03,FN
S0040,MECH,Manufacturing,2026-04-03,FN
S0041,MECH,Manufacturing,2026-04-03,FN
S0042,MECH,Manufacturing,2026-04-03,FN
S0043,MECH,Manufacturing,2026-04-03,FN
S0044,MECH,Manufacturing,2026-04-03,FN
S0045,MECH,Manufacturing,2026-04-03,FN
S0046,MECH,Manufacturing,2026-04-03,FN
S0047,MECH,Manufacturing,2026-04-03,FN
S0048,MECH,Manufacturing,2026-04-03,FN
S0049,EEE,Smart Grid,2026-04-02,FN
S0050,EEE,Smart Grid,2026-04-02,FN
S0051,EEE,Smart Grid,2026-04-02,FN
S0052,EEE,Smart Grid,2026-04-02,FN
S0053,EEE,Smart Grid,2026-04-02,FN
S0054,EEE,Smart Grid,2026-04-02,FN
S0055,EEE,Smart Grid,2026-04-02,FN
S0056,EEE,Smart Grid,2026-04-02,FN
S0057,EEE,Smart Grid,2026-04-02,FN
S0058,EEE,Smart Grid,2026-04-02,FN
S0059,EEE,Smart Grid,2026-04-02,FN
S0060,EEE,Smart Grid,2026-04-02,FN
S0061,EEE,Smart Grid,2026-04-02,FN
S0062,EEE,Smart Grid,2026-04-02,FN
S0063,EEE,Smart Grid,2026-04-02,FN
S0064,EEE,Smart Grid,2026-04-02,FN
S0065,EEE,Smart Grid,2026-04-02,FN
S0066,EEE,Smart Grid,2026-04-02,FN
S0067,EEE,Smart Grid,2026-04-02,FN
S0068,EEE,Smart Grid,2026-04-02,FN
S0069,EEE,Smart Grid,2026-04-02,FN
S0070,EEE,Smart Grid,2026-04-02,FN
S0071,EEE,Smart Grid,2026-04-02,FN
S0072,EEE,Smart Grid,2026-04-02,FN
S0073,EEE,Smart Grid,2026-04-02,FN
S0074,EEE,Smart Grid,2026-04-02,FN
S0075,EEE,Smart Grid,2026-04-02,FN
S0076,EEE,Smart Grid,2026-04-02,FN
S0077,EEE,Smart Grid,2026-04-02,FN
S0078,EEE,Smart Grid,2026-04-02,FN
S0079,EEE,Smart Grid,2026-04-02,FN
S0080,EEE,Smart Grid,2026-04-02,FN
S0081,EEE,Smart Grid,2026-04-02,FN
S0082,EEE,Smart Grid,2026-04-02,FN
S0083,EEE,Smart Grid,2026-04-02,FN
S0084,EEE,Smart Grid,2026-04-02,FN
S0085,EEE,Smart Grid,2026-04-02,FN
S0086,EEE,Smart Grid,2026-04-02,FN
S0087,EEE,Smart Grid,2026-04-02,FN
S0088,EEE,Smart Grid,2026-04-02,FN
S0089,EEE,Smart Grid,2026-04-02,FN
S0090,EEE,Renewable Energy,2026-04-10,FN
S0091,EEE,Renewable Energy,2026-04-10,FN
S0092,EEE,Renewable Energy,2026-04-10,FN
S0093,EEE,Renewable Energy,2026-04-10,FN
S0094,EEE,Renewable Energy,2026-04-10,FN
S0095,EEE,Renewable Energy,2026-04-10,FN
S0096,EEE,Renewable Energy,2026-04-10,FN
S0097,EEE,Renewable Energy,2026-04-10,FN
S0098,EEE,Renewable Energy,2026-04-10,FN
S0099,EEE,Renewable Energy,2026-04-10,FN
S0100,EEE,Renewable Energy,2026-04-10,FN
S0101,EEE,Renewable Energy,2026-04-10,FN
S0102,EEE,Renewable Energy,2026-04-10,FN
S0103,EEE,Renewable Energy,2026-04-10,FN
S0104,EEE,Renewable Energy,2026-04-10,FN
S0105,EEE,Renewable Energy,2026-04-10,FN
S0106,EEE,Renewable Energy,2026-04-10,FN
S0107,EEE,Renewable Energy,2026-04-10,FN
